period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01,1.0,0,0,0.0,0.0
2017-02,3.0,2,2,1.0,500.0
2017-03,3.0,2,0,0.0,0.0
2017-04,3.0,2,0,0.0,0.0
2017-05,4.0,5,4,4.0,250.0
2017-06,6.0,5,0,0.0,0.0
2017-07,6.0,5,0,0.0,0.0
2017-08,6.0,5,3,2.0,100.0
2017-09,7.0,5,4,4.0,767.0
2017-10,8.0,7,4,2.0,72.0
2017-11,8.0,7,2,1.0,20.0
2017-12,9.0,7,2,1.0,20.0
2018-01,9.0,7,0,0.0,0.0
2018-02,9.0,10,4,3.0,3000.0
2018-03,9.0,10,0,0.0,0.0
2018-04,10.0,10,0,0.0,0.0
2018-05,10.0,10,2,1.0,350.0
2018-06,11.0,11,2,1.0,500.0
2018-07,12.0,11,0,0.0,0.0
2018-08,13.0,11,0,0.0,0.0
2018-09,14.0,13,2,1.0,1.0
2018-10,22.0,25,14,13.0,910.8
2018-11,32.0,42,20,61.0,6959.160000000001
