period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01,1.0,0,0,0.0,0.0
2017-02,3.0,0,0,0.0,0.0
2017-03,3.0,0,0,0.0,0.0
2017-04,3.0,2,2,2.0,515.0
2017-05,6.0,6,6,9.0,1464.0
2017-06,8.0,7,3,2.0,118.0
2017-07,10.0,8,3,2.0,63.0
2017-08,11.0,11,8,11.0,3205.0
2017-09,15.0,16,10,15.0,8375.0
2017-10,17.0,18,10,20.0,5513.0
2017-11,17.0,19,8,9.0,2176.0
2017-12,17.0,19,4,7.0,2226.0
2018-01,18.0,19,2,2.0,480.0
2018-02,19.0,20,5,3.0,986.0
2018-03,22.0,24,7,9.0,4701.0
2018-04,22.0,24,4,4.0,1808.0
2018-05,22.0,24,2,1.0,300.0
2018-06,22.0,24,4,5.0,2130.0
2018-07,22.0,24,0,0.0,0.0
2018-08,22.0,24,0,0.0,0.0
2018-09,22.0,24,0,0.0,0.0
2018-10,23.0,27,5,3.0,360.0
2018-11,23.0,34,8,7.0,1865.0
