period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01,0.0,0,0,0.0,0.0
2017-02,0.0,0,0,0.0,0.0
2017-03,0.0,0,0,0.0,0.0
2017-04,0.0,0,0,0.0,0.0
2017-05,0.0,0,0,0.0,0.0
2017-06,0.0,0,0,0.0,0.0
2017-07,0.0,0,0,0.0,0.0
2017-08,0.0,0,0,0.0,0.0
2017-09,0.0,0,0,0.0,0.0
2017-10,1.0,0,0,0.0,0.0
2017-11,1.0,0,0,0.0,0.0
2017-12,1.0,0,0,0.0,0.0
2018-01,1.0,0,0,0.0,0.0
2018-02,1.0,0,0,0.0,0.0
2018-03,2.0,0,0,0.0,0.0
2018-04,6.0,4,4,2.0,22.0
2018-05,9.0,6,4,2.0,2.0
2018-06,10.0,6,0,0.0,0.0
2018-07,17.0,6,0,0.0,0.0
2018-08,57.0,48,43,203.0,25620.96
2018-09,74.0,64,46,220.0,25710.92
2018-10,80.0,70,34,136.0,20800.96
2018-11,82.0,74,28,128.0,18659.0
