period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01,0.0,0,0,0.0,0.0
2017-02,0.0,0,0,0.0,0.0
2017-03,0.0,0,0,0.0,0.0
2017-04,0.0,0,0,0.0,0.0
2017-05,1.0,0,0,0.0,0.0
2017-06,1.0,0,0,0.0,0.0
2017-07,1.0,0,0,0.0,0.0
2017-08,1.0,0,0,0.0,0.0
2017-09,1.0,0,0,0.0,0.0
2017-10,1.0,0,0,0.0,0.0
2017-11,1.0,0,0,0.0,0.0
2017-12,1.0,0,0,0.0,0.0
2018-01,1.0,0,0,0.0,0.0
2018-02,1.0,0,0,0.0,0.0
2018-03,1.0,0,0,0.0,0.0
2018-04,1.0,0,0,0.0,0.0
2018-05,1.0,0,0,0.0,0.0
2018-06,1.0,0,0,0.0,0.0
2018-07,1.0,0,0,0.0,0.0
2018-08,1.0,0,0,0.0,0.0
2018-09,1.0,0,0,0.0,0.0
2018-10,1.0,0,0,0.0,0.0
2018-11,2.0,2,2,1.0,0.1
