id,amount,asset_name,asset_id,datetime,sender_name,recipient_name,sender_id,recipient_id
1.11.571751570,1,MONEDAPAR.AI,1.3.1319,2018-11-08 13:49:21-03:00,nodomardelplata,marianatorrisi,1.2.1095159,1.2.1078018
1.11.571552137,1,MONEDAPAR.AI,1.3.1319,2018-11-08 11:30:21-03:00,nodomardelplata,kem,1.2.1095159,1.2.1098196
1.11.571550328,1,MONEDAPAR.AI,1.3.1319,2018-11-08 11:29:27-03:00,nodomardelplata,mariana1984,1.2.1095159,1.2.1037008
1.11.571446108,1,MONEDAPAR.AI,1.3.1319,2018-11-08 10:22:12-03:00,nodomardelplata,clemira57,1.2.1095159,1.2.1051247
1.11.571436270,1,MONEDAPAR.AI,1.3.1319,2018-11-08 10:16:12-03:00,nodomardelplata,monica2018,1.2.1095159,1.2.1113161
1.11.571432199,1,MONEDAPAR.AI,1.3.1319,2018-11-08 10:13:39-03:00,nodomardelplata,astilla,1.2.1095159,1.2.1116287
1.11.569399627,1,MONEDAPAR.AI,1.3.1319,2018-11-07 11:17:18-03:00,nodobuenosaires,julieta-marini75,1.2.1096771,1.2.884580
1.11.566117808,1,MONEDAPAR.AI,1.3.1319,2018-11-05 18:27:54-03:00,nodoquintana,nicoechaniz,1.2.1116241,1.2.168346
1.11.566035607,1,MONEDAPAR.AI,1.3.1319,2018-11-05 17:30:09-03:00,nodoquintana,giudicejesica,1.2.1116241,1.2.1116379
1.11.562378377,1,MONEDAPAR.AI,1.3.1319,2018-11-03 21:03:30-03:00,nodomardelplata,munaway,1.2.1095159,1.2.1107520
1.11.562377567,1,MONEDAPAR.AI,1.3.1319,2018-11-03 21:03:03-03:00,nodomardelplata,lidiaforquera,1.2.1095159,1.2.1113556
1.11.531274940,1,MONEDAPAR.AI,1.3.1319,2018-10-20 16:51:18-03:00,nodomardelplata,irma,1.2.1095159,1.2.1078091
1.11.531246411,1,MONEDAPAR.AI,1.3.1319,2018-10-20 16:30:39-03:00,nodomardelplata,sefaze,1.2.1095159,1.2.1084450
1.11.459708735,1,MONEDAPAR.AI,1.3.1319,2018-09-08 20:58:48-03:00,pamelaps,gabriel.sapienza,1.2.667678,1.2.1051237
1.11.459522314,1,MONEDAPAR.AI,1.3.1319,2018-09-08 17:40:09-03:00,pamelaps,andreapeyrot,1.2.667678,1.2.1051233
1.11.459489832,1,MONEDAPAR.AI,1.3.1319,2018-09-08 17:11:03-03:00,pamelaps,sabores18,1.2.667678,1.2.1078187
1.11.459489402,1,MONEDAPAR.AI,1.3.1319,2018-09-08 17:10:39-03:00,pamelaps,hernankpo,1.2.667678,1.2.1078204
1.11.459479364,1,MONEDAPAR.AI,1.3.1319,2018-09-08 17:01:51-03:00,pamelaps,nancy869,1.2.667678,1.2.1051243
1.11.459478061,1,MONEDAPAR.AI,1.3.1319,2018-09-08 17:00:36-03:00,pamelaps,mariel721,1.2.667678,1.2.1078186
