period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01-04,1.0,0.0,0.0,0.0,0.0
2017-01-05,1.0,0.0,0.0,0.0,0.0
2017-01-06,2.0,0.0,0.0,0.0,0.0
2017-01-07,2.0,0.0,0.0,0.0,0.0
2017-01-08,3.0,0.0,0.0,0.0,0.0
2017-01-09,3.0,0.0,0.0,0.0,0.0
2017-01-10,3.0,0.0,0.0,0.0,0.0
2017-01-11,4.0,0.0,0.0,0.0,0.0
2017-01-12,4.0,0.0,0.0,0.0,0.0
2017-01-13,4.0,0.0,0.0,0.0,0.0
2017-01-14,4.0,0.0,0.0,0.0,0.0
2017-01-15,4.0,0.0,0.0,0.0,0.0
2017-01-16,4.0,0.0,0.0,0.0,0.0
2017-01-17,15.0,0.0,0.0,0.0,0.0
2017-01-18,16.0,0.0,0.0,0.0,0.0
2017-01-19,17.0,0.0,0.0,0.0,0.0
2017-01-20,18.0,0.0,0.0,0.0,0.0
2017-01-21,18.0,0.0,0.0,0.0,0.0
2017-01-22,18.0,0.0,0.0,0.0,0.0
2017-01-23,19.0,0.0,0.0,0.0,0.0
2017-01-24,19.0,0.0,0.0,0.0,0.0
2017-01-25,20.0,0.0,0.0,0.0,0.0
2017-01-26,21.0,0.0,0.0,0.0,0.0
2017-01-27,21.0,0.0,0.0,0.0,0.0
2017-01-28,22.0,0.0,0.0,0.0,0.0
2017-01-29,22.0,0.0,0.0,0.0,0.0
2017-01-30,22.0,0.0,0.0,0.0,0.0
2017-01-31,30.0,2.0,2.0,1.0,2.0
2017-02-01,30.0,2.0,0.0,0.0,0.0
2017-02-02,33.0,2.0,0.0,0.0,0.0
2017-02-03,34.0,2.0,0.0,0.0,0.0
2017-02-04,34.0,2.0,0.0,0.0,0.0
2017-02-05,35.0,2.0,0.0,0.0,0.0
2017-02-06,38.0,2.0,0.0,0.0,0.0
2017-02-07,38.0,2.0,0.0,0.0,0.0
2017-02-08,38.0,2.0,0.0,0.0,0.0
2017-02-09,39.0,2.0,0.0,0.0,0.0
2017-02-10,42.0,2.0,0.0,0.0,0.0
2017-02-11,42.0,2.0,0.0,0.0,0.0
2017-02-12,42.0,2.0,0.0,0.0,0.0
2017-02-13,42.0,2.0,0.0,0.0,0.0
2017-02-14,44.0,2.0,0.0,0.0,0.0
2017-02-15,44.0,2.0,0.0,0.0,0.0
2017-02-16,44.0,2.0,0.0,0.0,0.0
2017-02-17,44.0,2.0,0.0,0.0,0.0
2017-02-18,45.0,2.0,0.0,0.0,0.0
2017-02-19,45.0,2.0,0.0,0.0,0.0
2017-02-20,46.0,2.0,0.0,0.0,0.0
2017-02-21,46.0,2.0,0.0,0.0,0.0
2017-02-22,50.0,6.0,4.0,3.0,1000.0
2017-02-23,55.0,6.0,0.0,0.0,0.0
2017-02-24,57.0,6.0,0.0,0.0,0.0
2017-02-25,60.0,6.0,0.0,0.0,0.0
2017-02-26,63.0,6.0,0.0,0.0,0.0
2017-02-27,64.0,6.0,0.0,0.0,0.0
2017-02-28,66.0,7.0,2.0,1.0,1.0
2017-03-01,67.0,7.0,0.0,0.0,0.0
2017-03-02,67.0,7.0,0.0,0.0,0.0
2017-03-03,68.0,7.0,0.0,0.0,0.0
2017-03-04,69.0,7.0,0.0,0.0,0.0
2017-03-05,69.0,7.0,0.0,0.0,0.0
2017-03-06,70.0,7.0,0.0,0.0,0.0
2017-03-07,72.0,7.0,0.0,0.0,0.0
2017-03-08,72.0,7.0,0.0,0.0,0.0
2017-03-09,76.0,7.0,0.0,0.0,0.0
2017-03-10,79.0,7.0,0.0,0.0,0.0
