period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01-04,1.0,0.0,0.0,0.0,0.0
2017-01-05,1.0,0.0,0.0,0.0,0.0
2017-01-06,2.0,0.0,0.0,0.0,0.0
2017-01-07,2.0,0.0,0.0,0.0,0.0
2017-01-08,3.0,0.0,0.0,0.0,0.0
2017-01-09,3.0,0.0,0.0,0.0,0.0
2017-01-10,3.0,0.0,0.0,0.0,0.0
2017-01-11,3.0,0.0,0.0,0.0,0.0
2017-01-12,3.0,0.0,0.0,0.0,0.0
2017-01-13,3.0,0.0,0.0,0.0,0.0
2017-01-14,3.0,0.0,0.0,0.0,0.0
2017-01-15,3.0,0.0,0.0,0.0,0.0
2017-01-16,3.0,0.0,0.0,0.0,0.0
2017-01-17,13.0,0.0,0.0,0.0,0.0
2017-01-18,14.0,0.0,0.0,0.0,0.0
2017-01-19,15.0,0.0,0.0,0.0,0.0
2017-01-20,16.0,0.0,0.0,0.0,0.0
2017-01-21,16.0,0.0,0.0,0.0,0.0
2017-01-22,16.0,0.0,0.0,0.0,0.0
2017-01-23,17.0,0.0,0.0,0.0,0.0
2017-01-24,17.0,0.0,0.0,0.0,0.0
2017-01-25,18.0,0.0,0.0,0.0,0.0
2017-01-26,19.0,0.0,0.0,0.0,0.0
2017-01-27,19.0,0.0,0.0,0.0,0.0
2017-01-28,20.0,0.0,0.0,0.0,0.0
2017-01-29,20.0,0.0,0.0,0.0,0.0
2017-01-30,20.0,0.0,0.0,0.0,0.0
2017-01-31,28.0,2.0,2.0,1.0,2.0
2017-02-01,28.0,2.0,0.0,0.0,0.0
2017-02-02,31.0,2.0,0.0,0.0,0.0
2017-02-03,32.0,2.0,0.0,0.0,0.0
2017-02-04,32.0,2.0,0.0,0.0,0.0
2017-02-05,33.0,2.0,0.0,0.0,0.0
2017-02-06,35.0,2.0,0.0,0.0,0.0
2017-02-07,35.0,2.0,0.0,0.0,0.0
2017-02-08,35.0,2.0,0.0,0.0,0.0
2017-02-09,36.0,2.0,0.0,0.0,0.0
2017-02-10,39.0,2.0,0.0,0.0,0.0
2017-02-11,39.0,2.0,0.0,0.0,0.0
2017-02-12,39.0,2.0,0.0,0.0,0.0
2017-02-13,39.0,2.0,0.0,0.0,0.0
2017-02-14,41.0,2.0,0.0,0.0,0.0
2017-02-15,41.0,2.0,0.0,0.0,0.0
2017-02-16,41.0,2.0,0.0,0.0,0.0
2017-02-17,41.0,2.0,0.0,0.0,0.0
2017-02-18,42.0,2.0,0.0,0.0,0.0
2017-02-19,42.0,2.0,0.0,0.0,0.0
2017-02-20,43.0,2.0,0.0,0.0,0.0
2017-02-21,43.0,2.0,0.0,0.0,0.0
2017-02-22,45.0,6.0,3.0,3.0,1000.0
2017-02-23,49.0,6.0,0.0,0.0,0.0
2017-02-24,51.0,6.0,0.0,0.0,0.0
2017-02-25,54.0,6.0,0.0,0.0,0.0
2017-02-26,57.0,6.0,0.0,0.0,0.0
2017-02-27,58.0,6.0,0.0,0.0,0.0
2017-02-28,60.0,7.0,2.0,1.0,1.0
2017-03-01,61.0,7.0,0.0,0.0,0.0
2017-03-02,61.0,7.0,0.0,0.0,0.0
2017-03-03,62.0,7.0,0.0,0.0,0.0
2017-03-04,63.0,7.0,0.0,0.0,0.0
2017-03-05,63.0,7.0,0.0,0.0,0.0
2017-03-06,64.0,7.0,0.0,0.0,0.0
2017-03-07,66.0,7.0,0.0,0.0,0.0
2017-03-08,66.0,7.0,0.0,0.0,0.0
2017-03-09,69.0,7.0,0.0,0.0,0.0
2017-03-10,72.0,7.0,0.0,0.0,0.0
