period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01,1.0,0,0,0.0,0.0
2017-02,3.0,0,1,1.0,500.0
2017-03,4.0,0,0,0.0,0.0
2017-04,4.0,2,1,1.0,500.0
2017-05,5.0,3,2,4.0,250.0
2017-06,7.0,3,0,0.0,0.0
2017-07,7.0,3,0,0.0,0.0
2017-08,7.0,5,2,4.0,246.0
2017-09,8.0,5,2,4.0,767.0
2017-10,10.0,7,4,3.0,116.0
2017-11,10.0,7,2,1.0,20.0
2017-12,11.0,7,2,1.0,20.0
2018-01,11.0,7,0,0.0,0.0
2018-02,14.0,10,4,3.0,3000.0
2018-03,14.0,10,0,0.0,0.0
2018-04,15.0,10,0,0.0,0.0
2018-05,15.0,11,3,2.0,355.0
2018-06,17.0,12,2,1.0,500.0
2018-07,18.0,12,0,0.0,0.0
2018-08,19.0,12,0,0.0,0.0
2018-09,20.0,14,2,1.0,1.0
2018-10,31.0,24,12,13.0,910.8
2018-11,41.0,41,17,61.0,6959.160000000001
