period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01,1.0,0,0,0.0,0.0
2017-02,3.0,0,0,0.0,0.0
2017-03,3.0,0,0,0.0,0.0
2017-04,3.0,0,1,2.0,515.0
2017-05,6.0,5,4,9.0,1464.0
2017-06,8.0,6,3,2.0,118.0
2017-07,10.0,7,3,2.0,63.0
2017-08,12.0,9,6,11.0,3205.0
2017-09,16.0,14,9,15.0,8375.0
2017-10,19.0,16,8,20.0,5513.0
2017-11,21.0,18,9,11.0,2311.0
2017-12,21.0,18,4,7.0,2226.0
2018-01,22.0,18,3,3.0,560.0
2018-02,23.0,19,5,3.0,986.0
2018-03,26.0,23,7,9.0,4701.0
2018-04,26.0,23,4,4.0,1808.0
2018-05,26.0,23,2,1.0,300.0
2018-06,26.0,23,4,5.0,2130.0
2018-07,26.0,23,0,0.0,0.0
2018-08,26.0,23,0,0.0,0.0
2018-09,26.0,23,0,0.0,0.0
2018-10,28.0,26,5,3.0,360.0
2018-11,28.0,32,3,7.0,1865.0
