period,registered_accounts,active_accounts,accounts_with_tx,n_transactions,value_transactions
2017-01,28,2,2,1,2.0
2017-02,60,7,5,4,1001.0
2017-03,94,10,4,2,22.0
2017-04,119,11,2,3,1015.0
2017-05,147,12,2,5,367.0
2017-06,190,19,8,18,62.0
2017-07,223,21,4,4,8.0
2017-08,254,21,3,6,55.0
2017-09,281,27,10,9,323.5
2017-10,318,29,4,12,8.55
2017-11,332,35,8,7,851.1
2017-12,334,36,6,3,610.5
2018-01,349,41,5,4,150.0
2018-02,359,42,2,1,500.0
2018-03,374,44,2,1,50.0
2018-04,417,46,2,1,10.0
2018-05,442,47,3,2,10.0
2018-06,458,50,4,6,18.0
2018-07,472,52,2,2,110.0
2018-08,518,56,4,3,209.0
2018-09,548,63,7,5,110.0
2018-10,628,74,11,10,340.0
2018-11,671,76,3,2,26.0
