id,amount,asset_name,asset_id,datetime,sender_name,recipient_name,sender_id,recipient_id,sender_nodo,recipient_nodo
1.11.570054682,50.0,MONEDAPAR,1.3.1236,2018-11-07 18:55:03-03:00,marianatorrisi,hernankpo,1.2.1078018,1.2.1078204,nodomardelplata,nodomardelplata
1.11.569421178,50.0,MONEDAPAR,1.3.1236,2018-11-07 11:33:30-03:00,patopou,renee,1.2.1117308,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.569417946,50.0,MONEDAPAR,1.3.1236,2018-11-07 11:31:27-03:00,andreac,renee,1.2.1117277,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.569385781,50.0,MONEDAPAR,1.3.1236,2018-11-07 11:06:51-03:00,silnoell,renee,1.2.1117293,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568266353,20.0,MONEDAPAR,1.3.1236,2018-11-06 21:38:45-03:00,andrea,andreac,1.2.155895,1.2.1117277,nodobuenosaires,nodobuenosaires
1.11.568264182,20.0,MONEDAPAR,1.3.1236,2018-11-06 21:37:18-03:00,andreac,andrea,1.2.1117277,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568263422,20.0,MONEDAPAR,1.3.1236,2018-11-06 21:36:45-03:00,andreac,andrea,1.2.1117277,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568252894,27.0,MONEDAPAR,1.3.1236,2018-11-06 21:29:54-03:00,nicoclu,renee,1.2.1112488,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568252068,3.0,MONEDAPAR,1.3.1236,2018-11-06 21:29:24-03:00,nicoclu,renee,1.2.1112488,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568247566,30.0,MONEDAPAR,1.3.1236,2018-11-06 21:26:27-03:00,patopou,renee,1.2.1117308,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568244778,100.0,MONEDAPAR,1.3.1236,2018-11-06 21:24:51-03:00,andrea,renee,1.2.155895,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568242168,150.0,MONEDAPAR,1.3.1236,2018-11-06 21:23:15-03:00,heloisa17,renee,1.2.1117312,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568241176,100.0,MONEDAPAR,1.3.1236,2018-11-06 21:22:45-03:00,heloisa17,andrea,1.2.1117312,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568239319,30.0,MONEDAPAR,1.3.1236,2018-11-06 21:21:39-03:00,augusto,renee,1.2.1115848,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568234889,30.0,MONEDAPAR,1.3.1236,2018-11-06 21:18:57-03:00,nicoclu,renee,1.2.1112488,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568225355,66.0,MONEDAPAR,1.3.1236,2018-11-06 21:13:09-03:00,patopou,julieta-marini75,1.2.1117308,1.2.884580,nodobuenosaires,nodobuenosaires
1.11.568223368,20.0,MONEDAPAR,1.3.1236,2018-11-06 21:11:27-03:00,patopou,andrea,1.2.1117308,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568223101,10.0,MONEDAPAR,1.3.1236,2018-11-06 21:11:12-03:00,paolina,andrea,1.2.1117246,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568221901,20.0,MONEDAPAR,1.3.1236,2018-11-06 21:10:15-03:00,paolina,andrea,1.2.1117246,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568219323,66.0,MONEDAPAR,1.3.1236,2018-11-06 21:08:24-03:00,renee,andrea,1.2.1067207,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568216617,100.0,MONEDAPAR,1.3.1236,2018-11-06 21:06:03-03:00,heloisa17,patopou,1.2.1117312,1.2.1117308,nodobuenosaires,nodobuenosaires
1.11.568215746,50.0,MONEDAPAR,1.3.1236,2018-11-06 21:05:18-03:00,heloisa17,andreac,1.2.1117312,1.2.1117277,nodobuenosaires,nodobuenosaires
1.11.568215024,80.0,MONEDAPAR,1.3.1236,2018-11-06 21:04:45-03:00,andrea,patopou,1.2.155895,1.2.1117308,nodobuenosaires,nodobuenosaires
1.11.568214499,160.0,MONEDAPAR,1.3.1236,2018-11-06 21:04:09-03:00,nicoclu,andreac,1.2.1112488,1.2.1117277,nodobuenosaires,nodobuenosaires
1.11.568214054,60.0,MONEDAPAR,1.3.1236,2018-11-06 21:03:48-03:00,paolina,nicoclu,1.2.1117246,1.2.1112488,nodobuenosaires,nodobuenosaires
1.11.568212940,80.0,MONEDAPAR,1.3.1236,2018-11-06 21:03:03-03:00,heloisa17,paolina,1.2.1117312,1.2.1117246,nodobuenosaires,nodobuenosaires
1.11.568208367,50.0,MONEDAPAR,1.3.1236,2018-11-06 20:59:42-03:00,andrea,silnoell,1.2.155895,1.2.1117293,nodobuenosaires,nodobuenosaires
1.11.568207840,15.0,MONEDAPAR,1.3.1236,2018-11-06 20:59:15-03:00,olga,fjc,1.2.1117309,1.2.1117210,nodobuenosaires,nodobuenosaires
1.11.568207151,50.0,MONEDAPAR,1.3.1236,2018-11-06 20:58:42-03:00,patopou,paolina,1.2.1117308,1.2.1117246,nodobuenosaires,nodobuenosaires
1.11.568206723,60.0,MONEDAPAR,1.3.1236,2018-11-06 20:58:18-03:00,heloisa17,augusto,1.2.1117312,1.2.1115848,nodobuenosaires,nodobuenosaires
1.11.568206553,80.0,MONEDAPAR,1.3.1236,2018-11-06 20:58:12-03:00,renee,silnoell,1.2.1067207,1.2.1117293,nodobuenosaires,nodobuenosaires
1.11.568206469,66.0,MONEDAPAR,1.3.1236,2018-11-06 20:58:09-03:00,andreac,julieta-marini75,1.2.1117277,1.2.884580,nodobuenosaires,nodobuenosaires
1.11.568206414,100.0,MONEDAPAR,1.3.1236,2018-11-06 20:58:06-03:00,silnoell,heloisa17,1.2.1117293,1.2.1117312,nodobuenosaires,nodobuenosaires
1.11.568204428,240.0,MONEDAPAR,1.3.1236,2018-11-06 20:56:27-03:00,paolina,nicoclu,1.2.1117246,1.2.1112488,nodobuenosaires,nodobuenosaires
1.11.568202953,100.0,MONEDAPAR,1.3.1236,2018-11-06 20:55:24-03:00,nicoclu,silnoell,1.2.1112488,1.2.1117293,nodobuenosaires,nodobuenosaires
1.11.568201078,66.0,MONEDAPAR,1.3.1236,2018-11-06 20:54:18-03:00,augusto,julieta-marini75,1.2.1115848,1.2.884580,nodobuenosaires,nodobuenosaires
1.11.568198945,150.0,MONEDAPAR,1.3.1236,2018-11-06 20:52:45-03:00,heloisa17,silnoell,1.2.1117312,1.2.1117293,nodobuenosaires,nodobuenosaires
1.11.568198627,66.0,MONEDAPAR,1.3.1236,2018-11-06 20:52:30-03:00,nicoclu,julieta-marini75,1.2.1112488,1.2.884580,nodobuenosaires,nodobuenosaires
1.11.568197646,250.0,MONEDAPAR,1.3.1236,2018-11-06 20:51:45-03:00,patopou,nicoclu,1.2.1117308,1.2.1112488,nodobuenosaires,nodobuenosaires
1.11.568195066,200.0,MONEDAPAR,1.3.1236,2018-11-06 20:49:57-03:00,heloisa17,andreac,1.2.1117312,1.2.1117277,nodobuenosaires,nodobuenosaires
1.11.568191645,300.0,MONEDAPAR,1.3.1236,2018-11-06 20:47:09-03:00,silnoell,nicoclu,1.2.1117293,1.2.1112488,nodobuenosaires,nodobuenosaires
1.11.568190709,50.0,MONEDAPAR,1.3.1236,2018-11-06 20:46:30-03:00,heloisa17,paolina,1.2.1117312,1.2.1117246,nodobuenosaires,nodobuenosaires
1.11.568189774,40.0,MONEDAPAR,1.3.1236,2018-11-06 20:45:48-03:00,nicoclu,andrea,1.2.1112488,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568189404,60.0,MONEDAPAR,1.3.1236,2018-11-06 20:45:30-03:00,renee,augusto,1.2.1067207,1.2.1115848,nodobuenosaires,nodobuenosaires
1.11.568188710,66.0,MONEDAPAR,1.3.1236,2018-11-06 20:45:00-03:00,nerea,julieta-marini75,1.2.1117310,1.2.884580,nodobuenosaires,nodobuenosaires
1.11.568187016,20.0,MONEDAPAR,1.3.1236,2018-11-06 20:43:42-03:00,renee,andrea,1.2.1067207,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568186915,250.0,MONEDAPAR,1.3.1236,2018-11-06 20:43:36-03:00,olga,nicoclu,1.2.1117309,1.2.1112488,nodobuenosaires,nodobuenosaires
1.11.568185878,100.0,MONEDAPAR,1.3.1236,2018-11-06 20:42:51-03:00,paolina,patopou,1.2.1117246,1.2.1117308,nodobuenosaires,nodobuenosaires
1.11.568185820,250.0,MONEDAPAR,1.3.1236,2018-11-06 20:42:48-03:00,heloisa17,nicoclu,1.2.1117312,1.2.1112488,nodobuenosaires,nodobuenosaires
1.11.568184447,20.0,MONEDAPAR,1.3.1236,2018-11-06 20:41:51-03:00,andreac,andrea,1.2.1117277,1.2.155895,nodobuenosaires,nodobuenosaires
1.11.568183423,50.0,MONEDAPAR,1.3.1236,2018-11-06 20:41:00-03:00,nerea,silnoell,1.2.1117310,1.2.1117293,nodobuenosaires,nodobuenosaires
1.11.568183372,50.0,MONEDAPAR,1.3.1236,2018-11-06 20:40:54-03:00,andrea,renee,1.2.155895,1.2.1067207,nodobuenosaires,nodobuenosaires
1.11.568183205,200.0,MONEDAPAR,1.3.1236,2018-11-06 20:40:45-03:00,augusto,heloisa17,1.2.1115848,1.2.1117312,nodobuenosaires,nodobuenosaires
1.11.568181701,80.0,MONEDAPAR,1.3.1236,2018-11-06 20:39:51-03:00,nicoclu,olga,1.2.1112488,1.2.1117309,nodobuenosaires,nodobuenosaires
1.11.568181182,300.0,MONEDAPAR,1.3.1236,2018-11-06 20:39:27-03:00,andrea,heloisa17,1.2.155895,1.2.1117312,nodobuenosaires,nodobuenosaires
1.11.568180982,299.0,MONEDAPAR,1.3.1236,2018-11-06 20:39:18-03:00,fjc,heloisa17,1.2.1117210,1.2.1117312,nodobuenosaires,nodobuenosaires
1.11.568180591,50.0,MONEDAPAR,1.3.1236,2018-11-06 20:39:03-03:00,nerea,silnoell,1.2.1117310,1.2.1117293,nodobuenosaires,nodobuenosaires
1.11.568178861,299.06,MONEDAPAR,1.3.1236,2018-11-06 20:37:48-03:00,ricardoorzi,heloisa17,1.2.1116460,1.2.1117312,nodobuenosaires,nodobuenosaires
1.11.568176351,80.0,MONEDAPAR,1.3.1236,2018-11-06 20:36:06-03:00,renee,olga,1.2.1067207,1.2.1117309,nodobuenosaires,nodobuenosaires
1.11.567839038,350.0,MONEDAPAR,1.3.1236,2018-11-06 16:38:00-03:00,mariel721,tamara,1.2.1078186,1.2.1050684,nodomardelplata,nodomardelplata
1.11.567281030,5.0,MONEDAPAR,1.3.1236,2018-11-06 09:42:57-03:00,rociomartino,marian080808,1.2.1102341,1.2.1116046,nodogualeguaychu,nodogualeguaychu
1.11.565710790,0.1,MONEDAPAR,1.3.1236,2018-11-05 13:59:27-03:00,tuti,nicoechaniz,1.2.152779,1.2.168346,nodobuenosaires,nodoquintana
1.11.565326345,200.0,MONEDAPAR,1.3.1236,2018-11-05 09:38:18-03:00,munaway,leonelmachado,1.2.1107520,1.2.1047863,nodomardelplata,nodomardelplata
1.11.565325532,330.0,MONEDAPAR,1.3.1236,2018-11-05 09:37:39-03:00,munaway,leonelmachado,1.2.1107520,1.2.1047863,nodomardelplata,nodomardelplata
1.11.564346057,5.0,MONEDAPAR,1.3.1236,2018-11-04 20:50:15-03:00,barberolucas,marcelogchu,1.2.1114908,1.2.1115767,nodogualeguaychu,nodogualeguaychu
1.11.562390959,500.0,MONEDAPAR,1.3.1236,2018-11-03 21:13:06-03:00,leonelmachado,pauloismael,1.2.1047863,1.2.1059769,nodomardelplata,nodomardelplata
1.11.562363960,5.0,MONEDAPAR,1.3.1236,2018-11-03 20:52:45-03:00,marta01,pablomariana03,1.2.1113920,1.2.1115178,nodogualeguaychu,nodogualeguaychu
1.11.562333861,50.0,MONEDAPAR,1.3.1236,2018-11-03 20:26:51-03:00,danielcavaignac,julietacasaredes,1.2.1062960,1.2.1115067,nodogualeguaychu,nodogualeguaychu
1.11.562319778,2.0,MONEDAPAR,1.3.1236,2018-11-03 20:15:09-03:00,samantagarcia,ni-colas,1.2.1078123,1.2.1110074,nodomardelplata,nodomardelplata
1.11.562282683,30.0,MONEDAPAR,1.3.1236,2018-11-03 19:50:51-03:00,alenoequin962,julietacasaredes,1.2.1102173,1.2.1115067,nodogualeguaychu,nodogualeguaychu
1.11.562277504,50.0,MONEDAPAR,1.3.1236,2018-11-03 19:48:00-03:00,julietacasaredes,alenoequin962,1.2.1115067,1.2.1102173,nodogualeguaychu,nodogualeguaychu
1.11.562275408,30.0,MONEDAPAR,1.3.1236,2018-11-03 19:46:30-03:00,pamela,julietacasaredes,1.2.1115097,1.2.1115067,nodogualeguaychu,nodogualeguaychu
1.11.562274782,30.0,MONEDAPAR,1.3.1236,2018-11-03 19:46:03-03:00,evelyn,julietacasaredes,1.2.1115096,1.2.1115067,nodogualeguaychu,nodogualeguaychu
1.11.562274025,150.0,MONEDAPAR,1.3.1236,2018-11-03 19:45:30-03:00,barberolucas,pammc,1.2.1114908,1.2.1115118,nodogualeguaychu,nodogualeguaychu
1.11.562273346,15.0,MONEDAPAR,1.3.1236,2018-11-03 19:45:09-03:00,julietacasaredes,elizabeth16,1.2.1115067,1.2.1115120,nodogualeguaychu,nodogualeguaychu
1.11.562273027,10.0,MONEDAPAR,1.3.1236,2018-11-03 19:44:51-03:00,rociomartino,elizabeth16,1.2.1102341,1.2.1115120,nodogualeguaychu,nodogualeguaychu
1.11.562271331,50.0,MONEDAPAR,1.3.1236,2018-11-03 19:43:36-03:00,pablofiore,barberolucas,1.2.1102206,1.2.1114908,nodogualeguaychu,nodogualeguaychu
1.11.562271187,45.0,MONEDAPAR,1.3.1236,2018-11-03 19:43:27-03:00,adrianavieytes,julietacasaredes,1.2.1115133,1.2.1115067,nodogualeguaychu,nodogualeguaychu
1.11.562270372,30.0,MONEDAPAR,1.3.1236,2018-11-03 19:42:57-03:00,debus,silvinacomparada,1.2.1115127,1.2.1115105,nodogualeguaychu,nodogualeguaychu
1.11.562269854,40.0,MONEDAPAR,1.3.1236,2018-11-03 19:42:30-03:00,julietacasaredes,chelitogchu,1.2.1115067,1.2.1115094,nodogualeguaychu,nodogualeguaychu
1.11.562266874,200.0,MONEDAPAR,1.3.1236,2018-11-03 19:40:33-03:00,martinchopiaggio,julietacasaredes,1.2.1115099,1.2.1115067,nodogualeguaychu,nodogualeguaychu
